Category,Name,Type,Example,Description
Search Recipes by Nutrients,minManganese,number,0,The minimum amount of manganese in milligrams the recipe must have per serving.
Search Recipes by Nutrients,maxManganese,number,100,The maximum amount of manganese in milligrams the recipe can have per serving.
Search Recipes by Nutrients,minPhosphorus,number,0,The minimum amount of phosphorus in milligrams the recipe must have per serving.
Search Recipes by Nutrients,maxPhosphorus,number,100,The maximum amount of phosphorus in milligrams the recipe can have per serving.
Search Recipes by Nutrients,minPotassium,number,0,The minimum amount of potassium in milligrams the recipe must have per serving.
Search Recipes by Nutrients,maxPotassium,number,100,The maximum amount of potassium in milligrams the recipe can have per serving.
Search Recipes by Nutrients,minSelenium,number,0,The minimum amount of selenium in micrograms the recipe must have per serving.
Search Recipes by Nutrients,maxSelenium,number,100,The maximum amount of selenium in micrograms the recipe can have per serving.
Search Recipes by Nutrients,minSodium,number,0,The minimum amount of sodium in milligrams the recipe must have per serving.
Search Recipes by Nutrients,maxSodium,number,100,The maximum amount of sodium in milligrams the recipe can have per serving.
Search Recipes by Nutrients,minSugar,number,0,The minimum amount of sugar in grams the recipe must have per serving.
Search Recipes by Nutrients,maxSugar,number,100,The maximum amount of sugar in grams the recipe can have per serving.
Search Recipes by Nutrients,minZinc,number,0,The minimum amount of zinc in milligrams the recipe must have per serving.
Search Recipes by Nutrients,maxZinc,number,100,The maximum amount of zinc in milligrams the recipe can have per serving.
Search Recipes by Nutrients,offset,number,0,The number of results to skip (between 0 and 900).
Search Recipes by Nutrients,number,number,10,The number of expected results (between 1 and 100).
Search Recipes by Nutrients,random,boolean,false,"If true, every request will give you a random set of recipes within the requested limits."
Search Recipes,query,string,pasta,The (natural language) recipe search query.
Search Recipes,cuisine,string,italian,"The cuisine(s) of the recipes. One or more, comma separated (will be interpreted as 'OR'). See a full list of supported cuisines."
Search Recipes,excludeCuisine,string,greek,"The cuisine(s) the recipes must not match. One or more, comma separated (will be interpreted as 'AND'). See a full list of supported cuisines."
